canal,tiempo_o_bache,productos_disponibles,producto_comprado
ONLINE,20:00,1;2;3;4,4
ONLINE,20:00,1;2;3;4,4
PRESENCIAL,1198.4760080421352,0;1;2;3;4,2
DIA 2,,,
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,4
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,3
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,1
ONLINE,08:00,1;2;3;4,2
ONLINE,08:00,1;2;3;4,3
PRESENCIAL,482.8191834988467,0;1;2;3;4,1
PRESENCIAL,499.0175111413701,0;1;2;3;4,1
PRESENCIAL,504.4255939534446,0;1;2;3;4,3
PRESENCIAL,504.94312521618906,0;1;2;3;4,4
PRESENCIAL,505.5411963322535,0;1;2;3;4,1
PRESENCIAL,510.69767046109155,0;1;2;3;4,1
PRESENCIAL,511.05831242930657,0;1;2;3;4,2
PRESENCIAL,516.2804487507289,0;1;2;3;4,1
PRESENCIAL,525.6839122674214,0;1;2;3;4,1
PRESENCIAL,526.57212587206,0;1;2;3;4,1
PRESENCIAL,545.0757474935416,0;1;2;3;4,2
PRESENCIAL,551.2463956280449,0;1;2;3;4,2
PRESENCIAL,551.8038996046415,0;1;2;3;4,2
PRESENCIAL,551.835489810476,0;1;2;3;4,3
PRESENCIAL,552.3307322697536,0;1;2;3;4,2
PRESENCIAL,554.1044042856626,0;1;2;3;4,2
PRESENCIAL,555.3590697101362,0;1;2;3;4,4
PRESENCIAL,559.9181694580731,0;1;2;3;4,1
PRESENCIAL,569.6890453503235,0;1;2;3;4,4
PRESENCIAL,577.4839085903117,0;1;2;3;4,3
PRESENCIAL,581.9856624673304,0;1;2;3;4,4
PRESENCIAL,582.6928720102447,0;1;2;3;4,2
PRESENCIAL,584.7317922714448,0;1;2;3;4,1
PRESENCIAL,586.8817174399207,0;1;2;3;4,2
PRESENCIAL,587.1752799948816,0;1;2;3;4,2
PRESENCIAL,596.8864571260577,0;1;2;3;4,1
PRESENCIAL,600.7049892505487,0;1;2;3;4,1
PRESENCIAL,601.6987328889941,0;1;2;3;4,3
PRESENCIAL,611.8650492909305,0;1;2;3;4,3
PRESENCIAL,614.8375437432957,0;1;2;3;4,1
PRESENCIAL,616.5094393605212,0;1;2;3;4,2
PRESENCIAL,620.2865720842995,0;1;2;3;4,3
PRESENCIAL,620.3860035499092,0;1;2;3;4,1
PRESENCIAL,624.7322918883708,0;1;2;3;4,2
PRESENCIAL,626.3942335672392,0;1;2;3;4,3
PRESENCIAL,627.3241776441323,0;1;2;3;4,2
PRESENCIAL,630.688884845633,0;1;2;3;4,2
PRESENCIAL,634.9652615815032,0;1;2;3;4,4
PRESENCIAL,638.6821465471147,0;1;2;3;4,1
PRESENCIAL,641.2970270219527,0;1;2;3;4,2
PRESENCIAL,641.9990959524683,0;1;2;3;4,4
PRESENCIAL,648.3845403583875,0;1;2;3;4,3
PRESENCIAL,650.4292448406,0;1;2;3;4,3
PRESENCIAL,652.5846831118673,0;1;2;3;4,3
PRESENCIAL,655.3416070285429,0;1;2;3;4,4
PRESENCIAL,656.7097188710917,0;1;2;3;4,4
PRESENCIAL,661.6591945554056,0;1;2;3;4,3
PRESENCIAL,664.307735828307,0;1;2;3;4,3
PRESENCIAL,664.9005109594094,0;1;2;3;4,1
PRESENCIAL,668.0400621057414,0;1;2;3;4,4
PRESENCIAL,669.1479771087767,0;1;2;3;4,2
PRESENCIAL,673.1086055591664,0;1;2;3;4,3
PRESENCIAL,681.5559016841592,0;1;2;3;4,2
PRESENCIAL,693.7006137130772,0;1;2;3;4,3
PRESENCIAL,695.8531439563101,0;1;2;3;4,1
PRESENCIAL,703.3062882230181,0;1;2;3;4,3
PRESENCIAL,704.8063126649305,0;1;2;3;4,1
PRESENCIAL,707.5650497348917,0;1;2;3;4,1
PRESENCIAL,710.3277284105849,0;1;2;3;4,1
PRESENCIAL,710.4215247776038,0;1;2;3;4,1
PRESENCIAL,713.2379080770847,0;1;2;3;4,2
PRESENCIAL,714.4143795134257,0;1;2;3;4,4
PRESENCIAL,721.7553658181854,0;1;2;3;4,2
